 iteration        1/    1000 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 83781.7 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.082687E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.222 | tokens per gpu per second (tgs): 1564.447 | TFLOPs: 1.35 |
 iteration       74/    1000 | consumed samples:        75776 | consumed tokens:     19398656 | elapsed time per iteration (ms): 82772.3 | learning rate: 5.927E-05 | global batch size:  1024 | lm loss: 8.491310E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.371 | tokens per gpu per second (tgs): 1583.525 | TFLOPs: 1.36 |
 iteration       75/    1000 | consumed samples:        76800 | consumed tokens:     19660800 | elapsed time per iteration (ms): 82726.5 | learning rate: 5.925E-05 | global batch size:  1024 | lm loss: 8.483007E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.378 | tokens per gpu per second (tgs): 1584.401 | TFLOPs: 1.36 |
 iteration       76/    1000 | consumed samples:        77824 | consumed tokens:     19922944 | elapsed time per iteration (ms): 82932.1 | learning rate: 5.923E-05 | global batch size:  1024 | lm loss: 8.453709E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.347 | tokens per gpu per second (tgs): 1580.475 | TFLOPs: 1.36 |
 iteration       77/    1000 | consumed samples:        78848 | consumed tokens:     20185088 | elapsed time per iteration (ms): 82898.3 | learning rate: 5.921E-05 | global batch size:  1024 | lm loss: 8.431452E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.352 | tokens per gpu per second (tgs): 1581.117 | TFLOPs: 1.36 |
 iteration       78/    1000 | consumed samples:        79872 | consumed tokens:     20447232 | elapsed time per iteration (ms): 82791.9 | learning rate: 5.919E-05 | global batch size:  1024 | lm loss: 8.431223E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.368 | tokens per gpu per second (tgs): 1583.150 | TFLOPs: 1.36 |
 iteration       79/    1000 | consumed samples:        80896 | consumed tokens:     20709376 | elapsed time per iteration (ms): 83092.0 | learning rate: 5.917E-05 | global batch size:  1024 | lm loss: 8.379651E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.324 | tokens per gpu per second (tgs): 1577.432 | TFLOPs: 1.36 |
 iteration       80/    1000 | consumed samples:        81920 | consumed tokens:     20971520 | elapsed time per iteration (ms): 82967.2 | learning rate: 5.915E-05 | global batch size:  1024 | lm loss: 8.350082E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.342 | tokens per gpu per second (tgs): 1579.806 | TFLOPs: 1.36 |
 iteration       81/    1000 | consumed samples:        82944 | consumed tokens:     21233664 | elapsed time per iteration (ms): 82301.2 | learning rate: 5.913E-05 | global batch size:  1024 | lm loss: 8.344872E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.442 | tokens per gpu per second (tgs): 1592.589 | TFLOPs: 1.37 |
 iteration       82/    1000 | consumed samples:        83968 | consumed tokens:     21495808 | elapsed time per iteration (ms): 82435.3 | learning rate: 5.911E-05 | global batch size:  1024 | lm loss: 8.339538E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.422 | tokens per gpu per second (tgs): 1589.999 | TFLOPs: 1.37 |
 iteration       83/    1000 | consumed samples:        84992 | consumed tokens:     21757952 | elapsed time per iteration (ms): 82253.6 | learning rate: 5.909E-05 | global batch size:  1024 | lm loss: 8.305520E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.449 | tokens per gpu per second (tgs): 1593.510 | TFLOPs: 1.37 |
 iteration       84/    1000 | consumed samples:        86016 | consumed tokens:     22020096 | elapsed time per iteration (ms): 82137.2 | learning rate: 5.907E-05 | global batch size:  1024 | lm loss: 8.293962E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.467 | tokens per gpu per second (tgs): 1595.770 | TFLOPs: 1.37 |
 iteration       85/    1000 | consumed samples:        87040 | consumed tokens:     22282240 | elapsed time per iteration (ms): 81858.8 | learning rate: 5.904E-05 | global batch size:  1024 | lm loss: 8.275646E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.509 | tokens per gpu per second (tgs): 1601.196 | TFLOPs: 1.38 |
 iteration       86/    1000 | consumed samples:        88064 | consumed tokens:     22544384 | elapsed time per iteration (ms): 82277.8 | learning rate: 5.902E-05 | global batch size:  1024 | lm loss: 8.268262E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.446 | tokens per gpu per second (tgs): 1593.041 | TFLOPs: 1.37 |
 iteration       87/    1000 | consumed samples:        89088 | consumed tokens:     22806528 | elapsed time per iteration (ms): 82410.9 | learning rate: 5.900E-05 | global batch size:  1024 | lm loss: 8.260635E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.426 | tokens per gpu per second (tgs): 1590.470 | TFLOPs: 1.37 |
 iteration       88/    1000 | consumed samples:        90112 | consumed tokens:     23068672 | elapsed time per iteration (ms): 82223.9 | learning rate: 5.897E-05 | global batch size:  1024 | lm loss: 8.222358E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.454 | tokens per gpu per second (tgs): 1594.086 | TFLOPs: 1.37 |
 iteration       89/    1000 | consumed samples:        91136 | consumed tokens:     23330816 | elapsed time per iteration (ms): 82440.4 | learning rate: 5.895E-05 | global batch size:  1024 | lm loss: 8.204103E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.421 | tokens per gpu per second (tgs): 1589.899 | TFLOPs: 1.37 |
 iteration       90/    1000 | consumed samples:        92160 | consumed tokens:     23592960 | elapsed time per iteration (ms): 82519.0 | learning rate: 5.893E-05 | global batch size:  1024 | lm loss: 8.207727E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.409 | tokens per gpu per second (tgs): 1588.386 | TFLOPs: 1.37 |
 iteration       91/    1000 | consumed samples:        93184 | consumed tokens:     23855104 | elapsed time per iteration (ms): 82354.5 | learning rate: 5.890E-05 | global batch size:  1024 | lm loss: 8.174345E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.434 | tokens per gpu per second (tgs): 1591.558 | TFLOPs: 1.37 |
 iteration       92/    1000 | consumed samples:        94208 | consumed tokens:     24117248 | elapsed time per iteration (ms): 82196.4 | learning rate: 5.888E-05 | global batch size:  1024 | lm loss: 8.176853E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.458 | tokens per gpu per second (tgs): 1594.619 | TFLOPs: 1.37 |
 iteration       93/    1000 | consumed samples:        95232 | consumed tokens:     24379392 | elapsed time per iteration (ms): 82118.5 | learning rate: 5.886E-05 | global batch size:  1024 | lm loss: 8.135837E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.470 | tokens per gpu per second (tgs): 1596.133 | TFLOPs: 1.37 |
 iteration       94/    1000 | consumed samples:        96256 | consumed tokens:     24641536 | elapsed time per iteration (ms): 82309.3 | learning rate: 5.883E-05 | global batch size:  1024 | lm loss: 8.138532E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.441 | tokens per gpu per second (tgs): 1592.433 | TFLOPs: 1.37 |
 iteration       95/    1000 | consumed samples:        97280 | consumed tokens:     24903680 | elapsed time per iteration (ms): 82398.7 | learning rate: 5.881E-05 | global batch size:  1024 | lm loss: 8.120842E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.427 | tokens per gpu per second (tgs): 1590.705 | TFLOPs: 1.37 |
 iteration       96/    1000 | consumed samples:        98304 | consumed tokens:     25165824 | elapsed time per iteration (ms): 82312.5 | learning rate: 5.878E-05 | global batch size:  1024 | lm loss: 8.113610E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.440 | tokens per gpu per second (tgs): 1592.370 | TFLOPs: 1.37 |
 iteration       97/    1000 | consumed samples:        99328 | consumed tokens:     25427968 | elapsed time per iteration (ms): 82169.8 | learning rate: 5.876E-05 | global batch size:  1024 | lm loss: 8.084414E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.462 | tokens per gpu per second (tgs): 1595.137 | TFLOPs: 1.37 |
 iteration       98/    1000 | consumed samples:       100352 | consumed tokens:     25690112 | elapsed time per iteration (ms): 82549.4 | learning rate: 5.873E-05 | global batch size:  1024 | lm loss: 8.064236E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.405 | tokens per gpu per second (tgs): 1587.801 | TFLOPs: 1.37 |
 iteration       99/    1000 | consumed samples:       101376 | consumed tokens:     25952256 | elapsed time per iteration (ms): 82320.9 | learning rate: 5.870E-05 | global batch size:  1024 | lm loss: 8.058146E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.439 | tokens per gpu per second (tgs): 1592.208 | TFLOPs: 1.37 |
 iteration      100/    1000 | consumed samples:       102400 | consumed tokens:     26214400 | elapsed time per iteration (ms): 82073.9 | learning rate: 5.868E-05 | global batch size:  1024 | lm loss: 8.056487E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.477 | tokens per gpu per second (tgs): 1596.999 | TFLOPs: 1.37 |
