 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 118305.5 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083638E+01 | loss scale: 1.0 | grad norm: 8.072 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.656 | tokens per gpu per second (tgs): 1107.911 | TFLOPs: 0.95 |
 iteration       67/     100 | consumed samples:        68608 | consumed tokens:     17563648 | elapsed time per iteration (ms): 117196.1 | learning rate: 1.926E-05 | global batch size:  1024 | lm loss: 9.125047E+00 | loss scale: 1.0 | grad norm: 1.810 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.737 | tokens per gpu per second (tgs): 1118.399 | TFLOPs: 0.96 |
 iteration       68/     100 | consumed samples:        69632 | consumed tokens:     17825792 | elapsed time per iteration (ms): 116780.8 | learning rate: 1.853E-05 | global batch size:  1024 | lm loss: 9.125447E+00 | loss scale: 1.0 | grad norm: 1.801 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.769 | tokens per gpu per second (tgs): 1122.377 | TFLOPs: 0.97 |
 iteration       69/     100 | consumed samples:        70656 | consumed tokens:     18087936 | elapsed time per iteration (ms): 116111.0 | learning rate: 1.782E-05 | global batch size:  1024 | lm loss: 9.111187E+00 | loss scale: 1.0 | grad norm: 1.807 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.819 | tokens per gpu per second (tgs): 1128.851 | TFLOPs: 0.97 |
 iteration       70/     100 | consumed samples:        71680 | consumed tokens:     18350080 | elapsed time per iteration (ms): 116054.9 | learning rate: 1.713E-05 | global batch size:  1024 | lm loss: 9.100408E+00 | loss scale: 1.0 | grad norm: 1.812 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.823 | tokens per gpu per second (tgs): 1129.397 | TFLOPs: 0.97 |
 iteration       71/     100 | consumed samples:        72704 | consumed tokens:     18612224 | elapsed time per iteration (ms): 116109.3 | learning rate: 1.645E-05 | global batch size:  1024 | lm loss: 9.091290E+00 | loss scale: 1.0 | grad norm: 1.822 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.819 | tokens per gpu per second (tgs): 1128.867 | TFLOPs: 0.97 |
 iteration       72/     100 | consumed samples:        73728 | consumed tokens:     18874368 | elapsed time per iteration (ms): 116136.0 | learning rate: 1.579E-05 | global batch size:  1024 | lm loss: 9.081987E+00 | loss scale: 1.0 | grad norm: 1.813 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.817 | tokens per gpu per second (tgs): 1128.608 | TFLOPs: 0.97 |
 iteration       73/     100 | consumed samples:        74752 | consumed tokens:     19136512 | elapsed time per iteration (ms): 116559.7 | learning rate: 1.514E-05 | global batch size:  1024 | lm loss: 9.074306E+00 | loss scale: 1.0 | grad norm: 1.799 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.785 | tokens per gpu per second (tgs): 1124.505 | TFLOPs: 0.97 |
 iteration       74/     100 | consumed samples:        75776 | consumed tokens:     19398656 | elapsed time per iteration (ms): 116411.9 | learning rate: 1.452E-05 | global batch size:  1024 | lm loss: 9.069534E+00 | loss scale: 1.0 | grad norm: 1.805 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.796 | tokens per gpu per second (tgs): 1125.933 | TFLOPs: 0.97 |
 iteration       75/     100 | consumed samples:        76800 | consumed tokens:     19660800 | elapsed time per iteration (ms): 115861.5 | learning rate: 1.391E-05 | global batch size:  1024 | lm loss: 9.056828E+00 | loss scale: 1.0 | grad norm: 1.827 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.838 | tokens per gpu per second (tgs): 1131.282 | TFLOPs: 0.97 |
 iteration       76/     100 | consumed samples:        77824 | consumed tokens:     19922944 | elapsed time per iteration (ms): 115857.9 | learning rate: 1.332E-05 | global batch size:  1024 | lm loss: 9.063035E+00 | loss scale: 1.0 | grad norm: 1.786 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.838 | tokens per gpu per second (tgs): 1131.316 | TFLOPs: 0.97 |
 iteration       77/     100 | consumed samples:        78848 | consumed tokens:     20185088 | elapsed time per iteration (ms): 115968.6 | learning rate: 1.275E-05 | global batch size:  1024 | lm loss: 9.040206E+00 | loss scale: 1.0 | grad norm: 1.846 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.830 | tokens per gpu per second (tgs): 1130.237 | TFLOPs: 0.97 |
 iteration       78/     100 | consumed samples:        79872 | consumed tokens:     20447232 | elapsed time per iteration (ms): 115948.7 | learning rate: 1.220E-05 | global batch size:  1024 | lm loss: 9.042128E+00 | loss scale: 1.0 | grad norm: 1.813 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.831 | tokens per gpu per second (tgs): 1130.431 | TFLOPs: 0.97 |
 iteration       79/     100 | consumed samples:        80896 | consumed tokens:     20709376 | elapsed time per iteration (ms): 116989.3 | learning rate: 1.167E-05 | global batch size:  1024 | lm loss: 9.041411E+00 | loss scale: 1.0 | grad norm: 1.804 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.753 | tokens per gpu per second (tgs): 1120.376 | TFLOPs: 0.96 |
 iteration       80/     100 | consumed samples:        81920 | consumed tokens:     20971520 | elapsed time per iteration (ms): 116905.4 | learning rate: 1.116E-05 | global batch size:  1024 | lm loss: 9.028487E+00 | loss scale: 1.0 | grad norm: 1.812 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.759 | tokens per gpu per second (tgs): 1121.180 | TFLOPs: 0.97 |
 iteration       81/     100 | consumed samples:        82944 | consumed tokens:     21233664 | elapsed time per iteration (ms): 117490.3 | learning rate: 1.067E-05 | global batch size:  1024 | lm loss: 9.032481E+00 | loss scale: 1.0 | grad norm: 1.804 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.716 | tokens per gpu per second (tgs): 1115.598 | TFLOPs: 0.96 |
 iteration       82/     100 | consumed samples:        83968 | consumed tokens:     21495808 | elapsed time per iteration (ms): 117127.2 | learning rate: 1.020E-05 | global batch size:  1024 | lm loss: 9.019948E+00 | loss scale: 1.0 | grad norm: 1.779 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.743 | tokens per gpu per second (tgs): 1119.057 | TFLOPs: 0.96 |
 iteration       83/     100 | consumed samples:        84992 | consumed tokens:     21757952 | elapsed time per iteration (ms): 116976.3 | learning rate: 9.760E-06 | global batch size:  1024 | lm loss: 9.017639E+00 | loss scale: 1.0 | grad norm: 1.794 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.754 | tokens per gpu per second (tgs): 1120.501 | TFLOPs: 0.96 |
 iteration       84/     100 | consumed samples:        86016 | consumed tokens:     22020096 | elapsed time per iteration (ms): 117238.5 | learning rate: 9.340E-06 | global batch size:  1024 | lm loss: 9.008136E+00 | loss scale: 1.0 | grad norm: 1.802 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.734 | tokens per gpu per second (tgs): 1117.994 | TFLOPs: 0.96 |
 iteration       85/     100 | consumed samples:        87040 | consumed tokens:     22282240 | elapsed time per iteration (ms): 117743.6 | learning rate: 8.943E-06 | global batch size:  1024 | lm loss: 9.012583E+00 | loss scale: 1.0 | grad norm: 1.795 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.697 | tokens per gpu per second (tgs): 1113.199 | TFLOPs: 0.96 |
 iteration       86/     100 | consumed samples:        88064 | consumed tokens:     22544384 | elapsed time per iteration (ms): 117385.5 | learning rate: 8.570E-06 | global batch size:  1024 | lm loss: 9.000789E+00 | loss scale: 1.0 | grad norm: 1.808 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.723 | tokens per gpu per second (tgs): 1116.595 | TFLOPs: 0.96 |
 iteration       87/     100 | consumed samples:        89088 | consumed tokens:     22806528 | elapsed time per iteration (ms): 117430.4 | learning rate: 8.221E-06 | global batch size:  1024 | lm loss: 8.998281E+00 | loss scale: 1.0 | grad norm: 1.787 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.720 | tokens per gpu per second (tgs): 1116.168 | TFLOPs: 0.96 |
 iteration       88/     100 | consumed samples:        90112 | consumed tokens:     23068672 | elapsed time per iteration (ms): 117052.0 | learning rate: 7.896E-06 | global batch size:  1024 | lm loss: 8.990381E+00 | loss scale: 1.0 | grad norm: 1.809 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.748 | tokens per gpu per second (tgs): 1119.776 | TFLOPs: 0.96 |
 iteration       89/     100 | consumed samples:        91136 | consumed tokens:     23330816 | elapsed time per iteration (ms): 117201.7 | learning rate: 7.596E-06 | global batch size:  1024 | lm loss: 8.987711E+00 | loss scale: 1.0 | grad norm: 1.808 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.737 | tokens per gpu per second (tgs): 1118.346 | TFLOPs: 0.96 |
 iteration       90/     100 | consumed samples:        92160 | consumed tokens:     23592960 | elapsed time per iteration (ms): 116819.1 | learning rate: 7.321E-06 | global batch size:  1024 | lm loss: 8.997582E+00 | loss scale: 1.0 | grad norm: 1.801 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.766 | tokens per gpu per second (tgs): 1122.008 | TFLOPs: 0.97 |
 iteration       91/     100 | consumed samples:        93184 | consumed tokens:     23855104 | elapsed time per iteration (ms): 116970.2 | learning rate: 7.072E-06 | global batch size:  1024 | lm loss: 8.987689E+00 | loss scale: 1.0 | grad norm: 1.806 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.754 | tokens per gpu per second (tgs): 1120.559 | TFLOPs: 0.96 |
 iteration       92/     100 | consumed samples:        94208 | consumed tokens:     24117248 | elapsed time per iteration (ms): 116674.5 | learning rate: 6.848E-06 | global batch size:  1024 | lm loss: 8.983697E+00 | loss scale: 1.0 | grad norm: 1.799 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.777 | tokens per gpu per second (tgs): 1123.399 | TFLOPs: 0.97 |
 iteration       93/     100 | consumed samples:        95232 | consumed tokens:     24379392 | elapsed time per iteration (ms): 117124.6 | learning rate: 6.650E-06 | global batch size:  1024 | lm loss: 8.962201E+00 | loss scale: 1.0 | grad norm: 1.807 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.743 | tokens per gpu per second (tgs): 1119.081 | TFLOPs: 0.96 |
 iteration       94/     100 | consumed samples:        96256 | consumed tokens:     24641536 | elapsed time per iteration (ms): 117436.1 | learning rate: 6.478E-06 | global batch size:  1024 | lm loss: 8.975592E+00 | loss scale: 1.0 | grad norm: 1.793 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.720 | tokens per gpu per second (tgs): 1116.114 | TFLOPs: 0.96 |
 iteration       95/     100 | consumed samples:        97280 | consumed tokens:     24903680 | elapsed time per iteration (ms): 117444.0 | learning rate: 6.332E-06 | global batch size:  1024 | lm loss: 8.954784E+00 | loss scale: 1.0 | grad norm: 1.811 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.719 | tokens per gpu per second (tgs): 1116.038 | TFLOPs: 0.96 |
 iteration       96/     100 | consumed samples:        98304 | consumed tokens:     25165824 | elapsed time per iteration (ms): 116939.8 | learning rate: 6.213E-06 | global batch size:  1024 | lm loss: 8.968536E+00 | loss scale: 1.0 | grad norm: 1.816 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.757 | tokens per gpu per second (tgs): 1120.850 | TFLOPs: 0.96 |
 iteration       97/     100 | consumed samples:        99328 | consumed tokens:     25427968 | elapsed time per iteration (ms): 117069.4 | learning rate: 6.120E-06 | global batch size:  1024 | lm loss: 8.958909E+00 | loss scale: 1.0 | grad norm: 1.816 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.747 | tokens per gpu per second (tgs): 1119.609 | TFLOPs: 0.96 |
 iteration       98/     100 | consumed samples:       100352 | consumed tokens:     25690112 | elapsed time per iteration (ms): 117171.5 | learning rate: 6.053E-06 | global batch size:  1024 | lm loss: 8.959976E+00 | loss scale: 1.0 | grad norm: 1.904 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.739 | tokens per gpu per second (tgs): 1118.634 | TFLOPs: 0.96 |
 iteration       99/     100 | consumed samples:       101376 | consumed tokens:     25952256 | elapsed time per iteration (ms): 117172.4 | learning rate: 6.013E-06 | global batch size:  1024 | lm loss: 8.952519E+00 | loss scale: 1.0 | grad norm: 1.827 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.739 | tokens per gpu per second (tgs): 1118.625 | TFLOPs: 0.96 |
 iteration      100/     100 | consumed samples:       102400 | consumed tokens:     26214400 | elapsed time per iteration (ms): 116851.8 | learning rate: 6.000E-06 | global batch size:  1024 | lm loss: 8.956899E+00 | loss scale: 1.0 | grad norm: 1.809 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.763 | tokens per gpu per second (tgs): 1121.695 | TFLOPs: 0.97 |
-----------------------------------------------------------------------------------------------
 validation loss at iteration 100 | lm loss value: 8.951053E+00 | lm loss PPL: 7.716010E+03 | 
-----------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------
 validation loss at iteration 100 on 40960-sample draw from validation set | lm loss value: 8.951819E+00 | lm loss PPL: 7.721929E+03 | 
----------------------------------------------------------------------------------------------------------------------------------------
[2024-10-21 18:42:13,922] [INFO] [launch.py:351:main] Process 24968 exits successfully.
